Symbol,Atomic Number,Number of atoms in a unit cell,Interatomic distance (?),"Valence electron number, Nv",Atomic Radius (è),Atomic Weight,Pauling electronegativity,Melting Point (K),Bulk Modulus (GPa),Coeficient of Thermal Expansion (10^-6 K^-1)
Li,3,2,3.309,1,1.52,6.941,0.98,453.69,11.6,56
Be,4,6,2.226,2,1.13,9.012182,1.57,1551,100.3,11.5
Na,11,2,3.716,1,1.54,22.989768,0.93,370.96,6.81,70.6
Mg,12,6,3.197,2,1.6,24.305,1.31,922,35.4,26.1
Al,13,4,2.863,3,1.43,26.981539,1.61,933.52,72.2,23.03
Si,14,8,2.352,4,1.17,28.0855,1.9,1683,98.9,4.2
K,19,2,4.544,1,2.27,39.0983,0.82,336.8,3.18,83
Ca,20,4,3.947,2,1.97,40.078,1,1112,15.2,22
Sc,21,6,3.212,3,1.61,44.95591,1.36,1814,57.3,10
Ti,22,6,2.896,4,1.45,47.88,1.54,1933,105.1,8.35
V,23,2,2.622,5,1.32,50.9415,1.63,2160,161.9,8.3
Cr,24,2,2.498,6,1.25,51.9961,1.66,2130,190.3,6.2
Fe,26,2,2.482,8,1.24,55.847,1.83,1808,168.3,12.3
Co,27,6,2.506,9,1.25,58.9332,1.88,1768,191.4,13.36
Ni,28,4,2.492,10,1.25,58.6934,1.91,1726,186.3,13.3
Cu,29,4,2.556,11,1.28,63.546,1.9,1356.6,130.9,16.5
Zn,30,6,2.669,12,1.33,65.39,1.65,692.73,59.8,25
Ge,32,8,2.45,4,1.23,72.61,2.01,1210.6,77.2,5.57
Rb,37,2,4.95,1,2.475,85.4678,0.82,312.2,3.14,90
Sr,38,4,4.302,2,2,87.62,0.95,1042,11.6,23
Y,39,6,3.551,3,1.81,88.90585,1.22,1795,36.6,10.6
Zr,40,6,3.179,4,1.6,91.224,1.33,2125,83.3,5.78
Nb,41,2,2.858,5,1.43,92.90638,1.6,2741,170.2,7.07
Mo,42,2,2.725,6,1.36,95.94,2.16,2890,272.5,5.43
Ru,44,6,2.65,8,1.34,101.07,2.2,2583,348,9.1
Rh,45,4,2.69,9,1.34,102.9055,2.28,2239,270.5,8.4
Pd,46,4,2.751,10,1.38,106.42,2.2,1825,180.8,11.2
Ag,47,4,2.889,11,1.44,107.8682,1.93,1235.08,100.7,19.2
Cd,48,6,2.979,12,1.49,112.411,1.69,594.1,46.74,29.8
Cs,55,2,5.309,1,2.654,132.90543,0.79,301.55,2.03,97
Ba,56,2,4.347,2,2.17,137.327,0.89,1002,10.3,18.1
Hf,72,6,3.127,4,1.56,178.49,1.3,2503,108.9,5.9
Ta,73,2,2.86,5,1.43,180.9479,1.5,3269,200.1,6.6
W,74,2,2.741,6,1.37,183.84,2.36,3680,323.2,4.59
Re,75,6,2.741,7,1.37,186.207,1.9,3453,371.7,6.63
Os,76,6,2.675,8,1.35,190.23,2.2,3327,462,4.3
Ir,77,4,2.714,9,1.36,192.22,2.2,2683,383,6.4
Pt,78,4,2.746,10,1.38,195.08,2.28,2045,278.3,9
Au,79,4,2.884,11,1.44,196.96654,2.54,1337.58,173.2,14.16
Pb,82,4,3.5,4,1.75,207.2,2.33,600.65,42.9,29.1
